Temple Name,Deity,Location,Speciality
Hindu temples in Andhra Pradesh by district,Not specified,Not specified,Not specified
Devi temples in Andhra Pradesh,Not specified,Not specified,Not specified
Shiva temples in Andhra Pradesh,Not specified,Not specified,Not specified
"Balaji Temple, Nandyal",Not specified,Bilakalaguduru village,Not specified
"Bhavanarayana Temple, Sarpavaram",Not specified,"Sarpavaram, Kakinada",Not specified
Template:Hindu temples in Andhra Pradesh,Not specified,Not specified,Not specified
"Kalyana Venkateswara Temple, Narayanavanam",Not specified,Narayanavanam,Not specified
Lepakshi,Not specified,Not specified,Not specified
Mandavya Narayana Swamy Temple,Not specified,Samarlakota,Not specified
Pancha Kshethram,Not specified,Not specified,Not specified
